,order_number,order_date,customer_name,channel,product_name,order_quantity,unit_price,revenue,total unit cost,state,state_name,region,lat,longitude,budget,2017 budget
0,SO - 000225,2014-01-01,Rhynoodle Ltd,Wholesale,Product 27,6,2499.1,14994.599999999999,1824.3429999999998,GA,Georgia,South,32.08354,-81.09983,964940.2310000001,
1,SO - 0003378,2014-01-01,Thoughtmix Ltd,Distributor,Product 20,11,2351.7000000000003,25868.700000000004,1269.9180000000001,IN,Indiana,Midwest,39.61366,-86.10665,2067108.1199999999,
2,SO - 0005126,2014-01-01,Amerisourc Corp,Wholesale,Product 26,6,978.2,5869.200000000001,684.74,CA,California,West,37.66243,-121.87468,5685138.2700000005,
3,SO - 0005614,2014-01-01,Colgate-Pa Group,Export,Product 7,7,2338.3,16368.100000000002,1028.852,IN,Indiana,Midwest,39.16533,-86.52639,889737.555,
4,SO - 0005781,2014-01-01,Deseret Group,Wholesale,Product 8,8,2291.4,18331.2,1260.2700000000002,CT,Connecticut,Northeast,41.77524,-72.52443,1085037.3290000001,
5,SO - 0010394,2014-01-01,Zoovu Corp,Export,Product 23,11,5219.3,57412.3,4332.019,MN,Minnesota,Midwest,44.9133,-93.50329,1135815.7580000001,
6,SO - 0008865,2014-01-01,Kare Corp,Wholesale,Product 1,7,2874.3,20120.100000000002,1667.094,MA,Massachusetts,Northeast,42.32385,-71.142,3016489.209,
7,SO - 0009909,2014-01-01,State Ltd,Wholesale,Product 25,10,1045.2,10452.0,679.3800000000001,CA,California,West,34.05529,-117.75228,5342315.484,
8,SO - 0001912,2014-01-01,Lazzy Group,Wholesale,Product 13,5,3852.5,19262.5,2966.425,UT,Utah,West,40.56217,-111.92966,3720639.645,
9,SO - 0002683,2014-01-01,Zooveo Company,Export,Product 14,12,2914.5,34974.0,1311.525,NC,North Carolina,South,36.07613,-79.4683,4028698.4090000005,
10,SO - 0004272,2014-01-01,Nexus Group,Wholesale,Product 26,11,2257.9,24836.9,1196.6870000000001,IN,Indiana,Midwest,39.11904,-86.51979,5685138.2700000005,
11,SO - 0004580,2014-01-01,Jayo Company,Export,Product 4,5,1232.8,6164.0,628.728,IL,Illinois,Midwest,41.76346,-88.2901,2885560.824,
12,SO - 0004646,2014-01-01,Jabbercube Corp,Wholesale,Product 25,5,3859.2000000000003,19296.0,2855.808,CA,California,West,33.72058,-116.21556,5342315.484,
13,SO - 0007608,2014-01-01,Eire Corp,Distributor,Product 15,10,1983.2,19832.0,1606.392,OH,Ohio,Midwest,39.75895,-84.19161,3299478.315,
14,SO - 0007951,2014-01-01,Muxo Group,Distributor,Product 3,7,167.5,1172.5,135.675,IL,Illinois,Midwest,41.94151,-88.321,2642352.432,
15,SO - 0001068,2014-01-01,Fatz Group,Export,Product 10,11,924.6,10170.6,656.466,NY,New York,Northeast,40.71258,-73.19552,864331.624,
16,SO - 0002010,2014-01-01,WOCKHARDT Group,Distributor,Product 11,11,1045.2,11497.2,543.504,MI,Michigan,Midwest,42.71434,-84.55928,1230458.484,
17,SO - 0002504,2014-01-01,Colgate-Pa Group,Export,Product 27,11,1976.5,21741.5,790.6,PA,Pennsylvania,Northeast,40.44062,-79.99589,964940.2310000001,
18,SO - 0009931,2014-01-01,sanofi-ave Group,Wholesale,Product 13,6,6525.8,39154.8,3589.1900000000005,AZ,Arizona,West,33.37032,-112.58378,3720639.645,
19,SO - 0009346,2014-01-01,CLINIQUE Ltd,Wholesale,Product 13,7,1011.7,7081.900000000001,839.711,CA,California,West,38.10409,-122.25664,3720639.645,
20,SO - 0002468,2014-01-01,Roberts Company,Wholesale,Product 5,8,1983.2,15865.6,1348.576,CA,California,West,34.02862,-117.81034,3925424.5420000004,
21,SO - 0003850,2014-01-01,Epic Group,Wholesale,Product 13,6,2653.2000000000003,15919.2,1485.7920000000004,CA,California,West,33.6603,-117.99923,3720639.645,
22,SO - 0006279,2014-01-01,SAFEWAY Ltd,Distributor,Product 4,7,3845.8,26920.600000000002,1538.3200000000002,FL,Florida,South,28.11873,-81.47923,2885560.824,
23,SO - 0006313,2014-01-01,Sanum-Kehl Group,Export,Product 16,8,1822.4,14579.2,1530.816,CA,California,West,33.60002,-117.672,2062061.144,
24,SO - 0010604,2014-01-01,Realbridge Corp,Wholesale,Product 19,11,5078.6,55864.600000000006,4113.666,AL,Alabama,South,32.60986,-85.48078,1645841.6,
25,SO - 0008840,2014-01-01,Actavis Company,Distributor,Product 2,7,844.2,5909.400000000001,616.266,LA,Louisiana,South,29.984090000000002,-90.15285,3050087.565,
26,SO - 0004336,2014-01-01,Mita Corp,Export,Product 14,9,268.0,2412.0,227.79999999999998,NC,North Carolina,South,35.92812,-79.03742,4028698.4090000005,
27,SO - 0005121,2014-01-01,Twitterbri Ltd,Wholesale,Product 30,6,5681.6,34089.600000000006,4090.752,MA,Massachusetts,Northeast,42.3751,-71.10561,1011609.684,
28,SO - 0010233,2014-01-01,Jayo Company,Distributor,Product 2,7,3899.4,27295.8,1598.754,PA,Pennsylvania,Northeast,40.03788,-76.30551,3050087.565,
29,SO - 0002206,2014-01-01,General Company,Wholesale,Product 16,8,174.20000000000002,1393.6000000000001,109.74600000000001,CA,California,West,33.03699,-117.29198,2062061.144,
30,SO - 0002543,2014-01-01,Terumo Corp,Export,Product 14,9,3644.8,32803.200000000004,2587.808,CA,California,West,34.01945,-118.49119,4028698.4090000005,
31,SO - 0002921,2014-01-01,Bluezoom Group,Wholesale,Product 26,10,5875.900000000001,58759.00000000001,4289.407,NH,New Hampshire,Northeast,42.99564,-71.45479,5685138.2700000005,
32,SO - 0003715,2014-01-01,US Ltd,Wholesale,Product 26,10,1085.4,10854.0,857.4660000000001,IL,Illinois,Midwest,42.25884,-89.06455,5685138.2700000005,
33,SO - 0004471,2014-01-01,Accudial Company,Wholesale,Product 14,12,2237.8,26853.600000000002,939.8760000000001,GA,Georgia,South,33.36149,-82.075,4028698.4090000005,
34,SO - 0004751,2014-01-01,Aveda Group,Distributor,Product 8,9,1172.5,10552.5,515.9,CA,California,West,33.78252,-117.22865,1085037.3290000001,
35,SO - 0006833,2014-01-01,BB17 Company,Export,Product 4,7,2613.0,18291.0,2142.66,NJ,New Jersey,Northeast,40.85964,-74.42335,2885560.824,
36,SO - 0008532,2014-01-01,Wordware Company,Wholesale,Product 5,11,938.0,10318.0,675.36,UT,Utah,West,41.06022,-111.97105,3925424.5420000004,
37,SO - 0010560,2014-01-01,Aromaticos Company,Export,Product 16,6,2994.9,17969.4,2455.8179999999998,KY,Kentucky,South,38.25424,-85.75941,2062061.144,
38,SO - 0003527,2014-01-02,Amerisourc Corp,Wholesale,Product 18,11,1701.8,18719.8,1429.512,CA,California,West,37.54827,-121.98857,2309499.045,
39,SO - 0003901,2014-01-02,Yodoo Ltd,Wholesale,Product 25,5,1728.6000000000001,8643.0,1019.874,NY,New York,Northeast,40.91149,-73.78235,5342315.484,
40,SO - 0001098,2014-01-02,Golden Corp,Wholesale,Product 30,11,1675.0,18425.0,1155.75,IL,Illinois,Midwest,39.79106,-89.64457,1011609.684,
41,SO - 0001725,2014-01-02,Mita Corp,Wholesale,Product 15,8,6525.8,52206.4,2806.094,IL,Illinois,Midwest,41.56858,-87.80422,3299478.315,
42,SO - 0002795,2014-01-02,Buzzbean Group,Wholesale,Product 26,12,3872.6,46471.2,2517.19,IN,Indiana,Midwest,39.47555,-87.38835,5685138.2700000005,
43,SO - 0003310,2014-01-02,General Company,Distributor,Product 26,10,1038.5,10385.0,529.635,CA,California,West,37.59583,-122.01917,5685138.2700000005,
44,SO - 0004126,2014-01-02,ALK-Abello Ltd,Wholesale,Product 14,10,3041.8,30418.0,2038.0060000000003,FL,Florida,South,27.8428,-82.69954,4028698.4090000005,
45,SO - 0005940,2014-01-02,Vinte Group,Export,Product 13,6,5212.6,31275.600000000002,2814.8040000000005,CA,California,West,37.00578,-121.56828,3720639.645,
46,SO - 0006793,2014-01-02,The Ltd,Export,Product 14,10,3953.0,39530.0,3043.81,MI,Michigan,Midwest,42.33143,-83.04575,4028698.4090000005,
47,SO - 0007868,2014-01-02,Wordpedia Ltd,Distributor,Product 3,9,850.9,7658.099999999999,433.959,CA,California,West,38.75212,-121.28801,2642352.432,
48,SO - 0009934,2014-01-02,Cadila Ltd,Export,Product 3,11,2519.2000000000003,27711.200000000004,1058.064,TX,Texas,South,31.54933,-97.14667,2642352.432,
49,SO - 000791,2014-01-02,Jayo Company,Export,Product 17,5,3108.8,15544.0,1896.3680000000002,CA,California,West,33.99307,-117.96868,2119616.824,
